Data from robot gripper sensors																		
14-Nov																		
Data generation: Physical testing and data logging																		
Hardware: human, Robotiq hand																		
Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm										
76	0.466875	0.42	0.48625	0.280333333	0.93	1.245	0.8525	1.2275										
77	0.445	0.378125	0.43375	0.3705	0.8925	1.2325	0.8675	1.1										
78	0.78625	0.3075	0.541875	0.3985	1.065	1.18	0.8475	1.055										
79	0.47	0.41375	0.49	0.262833333	0.93	1.23	0.85	1.18										
80	0.46375	0.346875	0.280625	0.007333333	0.9025	1.1975	0.6525	0.045
81	0.93625	0.700625	0.81875	0.001166667	1.1525	1.1825	0.9	0.005
82	0.31125	0.348125	0.529375	0.316	0.9525	1.0575	0.825	1.0025
83	0.496875	0.445	0.5325	0.2665	0.9925	1.265	0.8925	1.2175
84	0.473125	0.4175	0.5125	0.278	0.9375	1.2025	0.85	1.24
85	0.466875	0.438125	0.55	0.410166667	0.94	1.2075	0.855	0.9925
86	0.43375	0.391875	0.490625	0.486833333	0.86	1.22	0.8675	1.1575
87	0.4325	0.38625	0.500625	0.4675	0.865	1.2475	0.8675	1.125
88	0.434375	0.39875	0.4925	0.485666667	0.8725	1.265	0.875	1.0475
89	0.589375	0.754375	0.56	0.009166667	1.1325	1.255	0.8975	0.065
90	0.826875	0.516875	0.635625	0.004	0.9725	1.035	0.825	0.015
										
									
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
