Data from robot gripper sensors											
Nov-14											
"Data generation: Physical testing and data logging"												
"Hardware: human, Robotiq hand"												
Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
121	99	12.75	65.25	36	362	44	127	123
122	90	11.75	204.25	50.9333332	325	36	325	193
123	67.5	39	92.75	129.8666668	234	132	260	467
124	94.25	46.75	60.75	63.2	347	143	161	242
125	89.75	27.25	7.5	73.7333332	349	68	10	304
126	90.5	8.75	72	39.8	346	12	157	218
127	94.25	27.5	102.25	66.3333332	341	60	238	298
128	102.5	217.25	158.25	1.4	352	352	307	6
129	103.75	301	136.75	0.2666668	360	476	277	2
130	95.75	293.75	212.25	0.6	343	451	281	2
131	36	176	36.5	23.5333332	132	394	128	130
132	90.25	266	7.5	57.3333332	355	425	12	298
133	18.75	179.25	253	41.4	32	398	455	292
134	74	214.75	166	12.3333332	230	468	376	108
135	148.25	174.5	112.75	32.9333332	476	377	229	293
136	40.5	174.75	226	27	97	383	383	265
137	136	220.25	67.25	1.8666668	386	481	94	11
138	186.25	237.25	174.5	1	366	443	467	4
139	18.5	7	85.5	0.7333332	61	14	254	2
140	9	199.5	65.25	0.6666668	27	389	230	1
141	5.5	37.75	12	1.4666668	11	145	31	10
142	26.5	16	6	14.4666668	95	30	15	96
143	30	52	1.75	31.0666668	116	204	4	235
144	8	7.75	10.5	0.8	20	23	30	3
145	3.75	14.75	12	0.8	7	49	22	2
146	80	16	97.75	1.4	304	31	286	13
147	1.25	1.5	0.75	1.6	2	4	1	16
148	98.5	1.5	249	0.5333332	354	3	448	2
149	59.75	1	305.75	0.4	204	4	460	1
150	2.5	106.5	56.5	2.9333332	7	381	157	19
151	1.25	104.25	7	9.2	4	382	13	58
152	10.5	178.5	5.25	22.2	32	432	10	252
153	1	176	4	8.6	3	391	6	45
154	3.25	186.75	3	3.6	9	408	6	12
155	41.5	152.5	4	27.7333332	146	407	7	251
156	4.75	149.75	4	5.5333332	14	375	7	18
157	14.5	203.25	216.75	1.0666668	34	350	412	6
158	5.5	238	176.75	0.8	19	357	266	2
159	27.25	268	251.75	0.8666668	92	365	429	2
160	0.25	105	3.25	7.2	1	382	4	26
161	103.5	32.75	3	46.9333332	346	70	4	257
162	2.5	113.5	3.25	16.5333332	5	388	6	60
163	1	222.5	4.75	14	4	464	9	75
164	1.25	202.25	5	24.2	2	438	11	167
165	3.75	181.75	4.75	14.5333332	6	365	9	52
166	1.25	138	185.75	6.0666668	2	356	312	34
167	8	243.75	236.5	0.2666668	20	362	467	2
168	15.25	238.75	205.25	0.4666668	29	377	367	2
169	8	243.75	236.5	0.2666668	20	362	467	2
170	24	235.75	243.75	0.6666668	60	360	407	2
171	1.25	183.5	4.75	21.9333332	2	387	9	99
172	1.25	187	183.25	7.8666668	2	454	282	64
173	0.5	196.5	5.25	26.0666668	1	435	6	202
174	0.5	0.5	0.75	2.4	1	1	1	14
175	0.5	0.75	0.5	1.8666668	1	1	2	16
176	1	159	5.75	24	3	340	9	84
177	0.75	192.25	15	21.2	2	414	29	192
178	0.75	302.5	17	0.7333332	1	479	44	2
179	79.5	303.5	214.5	0.5333332	233	488	409	1
180	10	311.25	19.75	0.6666668	36	508	52	2
181	1.25	102.75	3.5	16.5333332	4	348	7	99
182	1.25	194.25	12	23.0666668	3	407	36	114
183	2	170.75	4.5	20	5	340	7	76
184	1.75	186	5.75	24.4	5	374	11	100
185	3.75	84.25	1.5	16.6	11	295	5	82
186	1.5	103.25	6	23.2	3	389	11	140
187	86	214.25	226.25	0.7333332	311	369	448	2
188	9	197	160.5	0.5333332	26	360	399	1
189	101.75	211.75	172.25	0.5333332	346	362	448	2
190	7.25	198.5	7.5	3.8	25	369	17	21
191	11.25	12.25	1.75	13	32	17	4	136
192	17.75	14.5	344	1.2666668	48	30	442	5
193	18.5	9.5	17.5	4.2666668	50	25	60	18
194	29.5	6	4.25	10.0666668	83	14	9	68
195	22.25	20.5	220	0.8	38	67	443	5
196	30.75	15.75	343	1.3333332	73	51	441	4
197	86.25	168.75	335.5	0.6	341	393	427	2
198	25.25	161	343.75	0.7333332	72	466	460	2
199	4.5	144.75	347.5	0.5333332	9	448	446	2
200	1.75	118.5	2.5	17.4666668	5	417	7	85
201	1.5	130.75	2.75	22.6	4	382	4	123
202	0.75	191.5	3	25.7333332	1	394	8	138
203	1.25	186.25	3.75	22.8666668	3	363	7	103
204	1.25	184	4.75	31.2	2	383	9	160
205	1	186.75	2.25	31.2	3	390	4	168
206	1.75	192.25	4.25	25.2666668	4	388	8	89
207	23.75	202	200	0.8666668	50	361	382	4
208	34.25	223.5	223	0.4	96	363	300	1
209	29.75	2.75	121.5	0.4666668	63	7	313	2
210	1.75	104.75	4	21.2	4	392	8	158
211	25.75	67.75	4.25	39.2666668	76	220	8	325
212	5	131.5	2.25	13.6	16	376	4	127
213	0.5	172.5	1.25	20.3333332	2	395	2	133
214	0.5	151.25	2.25	12.3333332	1	370	5	76
215	0.75	132	4.25	12	3	369	6	59
216	0.5	124.5	4.25	12.1333332	1	346	7	53
217	83.5	194.75	88.5	1.1333332	302	356	246	3
218	5.25	219.5	224	0.8	8	354	347	2
219	148.5	230.25	169.25	0.7333332	294	360	304	2
220	6.75	127.25	5	11.0666668	16	333	16	65
221	3.25	108.75	2	17.6666668	10	368	4	103
222	15	112.5	4.75	33.4	39	356	7	417
223	2.5	143.75	3	9.8666668	7	382	5	65
224	135.5	5	3.5	53.5333332	293	10	6	288
225	101	17.75	3	42.4	291	28	6	285
226	10.75	105.25	2.25	7.7333332	16	397	4	29
227	12.25	138.75	2.25	12.4	24	392	5	120
228	17.25	211.75	102.25	1	51	352	223	3
229	117.5	227.5	182	0.4666668	285	358	326	2
230	22	15.5	183.5	1.4666668	49	30	375	5
231	74.25	12.25	318.25	1.3333332	275	31	362	4
232	9.75	8.25	19.25	17.7333332	22	14	38	199
233	0.75	1.25	2.75	0.6	2	2	9	2
234	3.75	1.25	1.5	1.6666668	8	4	4	8
235	0.75	1.25	2.75	0.6	2	2	9	2
236	3	1.5	0.25	0.8	6	2	1	4
237	4.75	4.25	3	0.7333332	14	11	7	2
238	87.75	0	20.5	0.4	296	0	35	1
239	10	0.5	109.75	0.4	29	1	232	2
240	14	0.25	5	0.5333332	28	1	16	2
241	0.25	0.25	0.25	0.6	1	1	1	1
242	4.25	3.25	0.5	4.8	12	6	2	55
243	9.5	3.25	0.25	1.1333332	18	8	1	10
244	8.25	7.5	0.75	1.4	24	14	2	9
245	4	2.75	0.25	2.4666668	9	8	1	21
