Data from robot gripper sensors											
Nov-14											
"Data generation: Physical testing and data logging"												
"Hardware: human, Robotiq hand"												
Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
68	0.32375	0.353125	0.21375	0.0035	0.9225	0.9975	0.7575	0.0125
69	0.545625	0.438125	0.36375	0.002333333	1.06	0.8725	0.7175	0.005
70	0.43625	0.763125	0.509375	0.0015	1.075	1.0725	0.775	0.0025
71	0.2075	0.480625	0.494375	0.036666667	0.7	1.1875	0.9225	0.3525
72	0.5325	0.20625	0.249375	0.072833333	0.865	0.475	0.63	0.385
73	0.29375	0.548125	0.02375	0.078833333	0.84	1.015	0.0425	0.3525
74	0.471875	0.37875	0.0275	0.0835	0.9575	0.87	0.0475	0.4175
75	0.454375	0.755625	0.02375	0.107666667	0.905	1.115	0.0475	0.8125
76	0.433125	0.20625	0.080625	0.050166667	0.84	0.53	0.1975	0.3075
77	0.4075	0.53375	0.004375	0.082833333	0.805	0.84	0.0075	0.655
78	0.225	0.639375	0.0075	0.045333333	0.8025	0.865	0.02	0.3275
79	0.2825	0.50125	0.253125	0.003166667	0.98	0.8725	0.8325	0.0125
80	0.235625	0.563125	0.33	0.0015	0.8325	0.865	0.7625	0.0025
81	0.02875	0.578125	0.66625	0.001666667	0.09	0.87	0.9475	0.005
82	0.2925	0.069375	0.21125	0.125666667	0.8625	0.1425	0.795	0.8275
83	0.41125	0.1175	0.2575	0.104	0.81	0.395	0.6825	0.6425
84	0.360625	0.0375	0.275	0.120666667	0.9125	0.0975	0.885	0.83
85	0.304375	0.315	0.015	0.008666667	0.825	0.89	0.0325	0.0775
86	0.204375	0.06	0.145	0.097833333	0.7375	0.2	0.39	0.6775
87	0.206875	0.126875	0.074375	0.007666667	0.7525	0.29	0.185	0.0675
88	0.284375	0.1	0.011875	0.028333333	0.8	0.36	0.02	0.145
89	0.23375	0.12375	0.105625	0.096666667	0.79	0.3775	0.3725	0.5575
90	0.375	0.459375	0.415625	0.002166667	0.8925	0.89	1.025	0.005
91	0.340625	0.54875	0.680625	0.001166667	0.895	0.8675	1.125	0.0025
92	0.50125	0.675	0.655	0.0015	0.89	0.945	1.145	0.005
93	0.3675	0.659375	0.378125	0.008166667	0.8325	0.8825	1.155	0.09
94	0.605625	0.0425	0.1975	0.052166667	1.065	0.0625	0.6875	0.5675
95	0.1975	0.578125	0.5975	0.113333333	0.48	1.1875	1.115	1.0575
96	0.333125	0.5975	0.011875	0.078333333	0.885	0.875	0.0175	0.7575
97	0.306875	0.531875	0.006875	0.060833333	0.8175	1.015	0.015	0.48
98	0.236875	0.43	0.151875	0.061666667	0.8125	0.9925	0.3075	0.44
99	0.28375	0.4725	0.49375	0.002	0.935	0.87	1.1525	0.005
100	0.34	0.4925	0.47	0.0015	0.9525	0.8625	1.1375	0.005
101	0.13	0.499375	0.665625	0.001166667	0.4575	0.86	1.0675	0.0025
102	0.24375	0.26625	0.376875	0.028833333	0.8575	0.8775	0.91	0.285
103	0.263125	0.281875	0.259375	0.097666667	0.93	0.8425	0.7325	0.8775
104	0.4575	0.51125	0.055625	0.002166667	0.8725	0.87	0.15	0.005
105	0.4175	0.5275	0.188125	0.0055	0.8575	1.04	0.365	0.055
106	0.435	0.558125	0.085	0.009166667	0.84	1.0075	0.2025	0.06
107	0.423125	0.344375	0.035625	0.020166667	0.82	0.845	0.0675	0.175
108	0.406875	0.0425	0.244375	0.144166667	0.8225	0.1325	0.66	1.1425
109	0.67	0.55625	0.33625	0.004	0.9525	0.885	0.6825	0.0275
110	0.2975	0.603125	0.624375	0.002	0.9675	1.06	1.105	0.005
111	0.226875	0.736875	0.450625	0.002166667	0.825	1.14	1.0775	0.005
112	0.371875	0.594375	0.01	0.1195	0.8825	0.8725	0.02	0.9275
113	0.54	0.4175	0.224375	0.008833333	0.9175	0.875	0.7525	0.0575
114	0.5325	0.50375	0.019375	0.100833333	1.1825	0.925	0.045	0.95
115	0.21875	0.5025	0.02625	0.029833333	0.7775	0.8775	0.08	0.17
116	0.25875	0.315	0.12125	0.105666667	0.8675	0.9675	0.1975	0.44
117	0.249375	0.5775	0.118125	0.1045	0.8675	0.86	0.2275	0.3
118	0.21125	0.356875	0.269375	0.113333333	0.795	0.995	0.6575	0.34
119	0.313125	0.473125	0.414375	0.003833333	1.1	0.87	0.8375	0.0175
120	0.065	0.8675	0.58875	0.002	0.21	1.0875	0.975	0.01
121	0.2475	0.031875	0.163125	0.09	0.905	0.11	0.3175	0.3075
122	0.225	0.029375	0.510625	0.127333333	0.8125	0.09	0.8125	0.4825
123	0.16875	0.0975	0.231875	0.324666667	0.585	0.33	0.65	1.1675
124	0.235625	0.116875	0.151875	0.158	0.8675	0.3575	0.4025	0.605
125	0.224375	0.068125	0.01875	0.184333333	0.8725	0.17	0.025	0.76
126	0.22625	0.021875	0.18	0.0995	0.865	0.03	0.3925	0.545
127	0.235625	0.06875	0.255625	0.165833333	0.8525	0.15	0.595	0.745
128	0.25625	0.543125	0.395625	0.0035	0.88	0.88	0.7675	0.015
129	0.259375	0.7525	0.341875	0.000666667	0.9	1.19	0.6925	0.005
130	0.239375	0.734375	0.530625	0.0015	0.8575	1.1275	0.7025	0.005
131	0.09	0.44	0.09125	0.058833333	0.33	0.985	0.32	0.325
132	0.225625	0.665	0.01875	0.143333333	0.8875	1.0625	0.03	0.745
133	0.046875	0.448125	0.6325	0.1035	0.08	0.995	1.1375	0.73
134	0.185	0.536875	0.415	0.030833333	0.575	1.17	0.94	0.27
135	0.370625	0.43625	0.281875	0.082333333	1.19	0.9425	0.5725	0.7325
136	0.10125	0.436875	0.565	0.0675	0.2425	0.9575	0.9575	0.6625
137	0.34	0.550625	0.168125	0.004666667	0.965	1.2025	0.235	0.0275
138	0.465625	0.593125	0.43625	0.0025	0.915	1.1075	1.1675	0.01
139	0.04625	0.0175	0.21375	0.001833333	0.1525	0.035	0.635	0.005
140	0.0225	0.49875	0.163125	0.001666667	0.0675	0.9725	0.575	0.0025
141	0.01375	0.094375	0.03	0.003666667	0.0275	0.3625	0.0775	0.025
142	0.06625	0.04	0.015	0.036166667	0.2375	0.075	0.0375	0.24
143	0.075	0.13	0.004375	0.077666667	0.29	0.51	0.01	0.5875
144	0.02	0.019375	0.02625	0.002	0.05	0.0575	0.075	0.0075
145	0.009375	0.036875	0.03	0.002	0.0175	0.1225	0.055	0.005
146	0.2	0.04	0.244375	0.0035	0.76	0.0775	0.715	0.0325
147	0.003125	0.00375	0.001875	0.004	0.005	0.01	0.0025	0.04
148	0.24625	0.00375	0.6225	0.001333333	0.885	0.0075	1.12	0.005
149	0.149375	0.0025	0.764375	0.001	0.51	0.01	1.15	0.0025
150	0.00625	0.26625	0.14125	0.007333333	0.0175	0.9525	0.3925	0.0475
151	0.003125	0.260625	0.0175	0.023	0.01	0.955	0.0325	0.145
152	0.02625	0.44625	0.013125	0.0555	0.08	1.08	0.025	0.63
153	0.0025	0.44	0.01	0.0215	0.0075	0.9775	0.015	0.1125
154	0.008125	0.466875	0.0075	0.009	0.0225	1.02	0.015	0.03
155	0.10375	0.38125	0.01	0.069333333	0.365	1.0175	0.0175	0.6275
156	0.011875	0.374375	0.01	0.013833333	0.035	0.9375	0.0175	0.045
157	0.03625	0.508125	0.541875	0.002666667	0.085	0.875	1.03	0.015
158	0.01375	0.595	0.441875	0.002	0.0475	0.8925	0.665	0.005
